"Story","Title","Result","Date","Stability","Duration (s)"
"Validar endpoint de albumes comprados","consultar albumes comprados correctmante","SUCCESS","2021-04-04T22:55:45.177-05:00[America/Bogota]","0.0","5.17"
"Validar endpoint de albumes comprados","validar el esquema con <nombreEscenario>","SUCCESS","2021-04-04T22:55:50.348-05:00[America/Bogota]","0.0","2.78"
"Validar endpoint de albumes comprados","validar response","SUCCESS","2021-04-04T22:55:53.135-05:00[America/Bogota]","0.0","2.36"
"Validar endpoint de albumes comprados","Validar token incorrecto","SUCCESS","2021-04-04T22:55:55.496-05:00[America/Bogota]","0.0","0.47"
